Provinsi,Jumlah Sekolah SD (Negeri),Jumlah Sekolah SD (Swasta),Jumlah Sekolah SD (Negeri+Swasta),Jumlah Guru SD (Negeri),Jumlah Guru SD (Swasta),Jumlah Guru SD (Negeri+Swasta),Jumlah Murid SD (Negeri),Jumlah Murid SD (Swasta),Jumlah Murid SD (Negeri+Swasta)
Aceh,3336,193,3529,45823,2718,48541,451027,35931,486958
Sumatera Utara,8205,1577,9782,91137,18448,109585,1204565,344087,1548652
Sumatera Barat,3962,298,4260,42372,4461,46833,531193,66025,597218
Riau,3221,570,3791,42764,8614,51378,634909,138617,773526
Jambi,2308,155,2463,24989,2172,27161,335196,33498,368694
Sumatera Selatan,4252,444,4696,54232,5629,59861,796801,85733,882534
Bengkulu,1290,108,1398,14351,1684,16035,173543,20838,194381
Lampung,4314,418,4732,52422,5289,57711,719438,80181,799619
Kepulauan Bangka Belitung,760,72,832,8672,1006,9678,146317,16405,162722
Kepulauan Riau,684,289,973,9483,4550,14033,154066,71509,225575
DKI Jakarta,1308,931,2239,24794,15550,40344,546713,218377,765090
Jawa Barat,17302,2357,19659,177306,35543,212849,3883339,567595,4450934
Jawa Tengah,17472,1288,18760,156270,17401,173671,2322013,309161,2631174
DI Yogyakarta,1423,425,1848,14788,5667,20455,190728,83710,274438
Jawa Timur,16980,2027,19007,161954,24844,186798,2184504,395409,2579913
Banten,3895,739,4634,45266,11621,56887,996698,189185,1185883
Bali,2265,151,2416,23162,2557,25719,343632,39232,382864
Nusa Tenggara Barat,3011,298,3309,39286,2873,42159,472110,37359,509469
Nusa Tenggara Timur,3378,1825,5203,36362,17923,54285,417555,251670,669225
Kalimantan Barat,4139,299,4438,36209,3331,39540,504176,61472,565648
Kalimantan Tengah,2412,236,2648,22934,2551,25485,232282,42758,275040
Kalimantan Selatan,2740,175,2915,27785,2397,30182,323293,33626,356919
Kalimantan Timur,1652,267,1919,22416,3696,26112,346884,65345,412229
Kalimantan Utara,437,48,485,5489,606,6095,69072,9457,78529
Sulawesi Utara,1344,859,2203,12705,6090,18795,132584,82653,215237
Sulawesi Tengah,2670,256,2926,25032,2143,27175,281651,26071,307722
Sulawesi Selatan,6082,356,6438,65702,4702,70404,811242,68935,880177
Sulawesi Tenggara,2257,88,2345,24705,862,25567,279295,12428,291723
Gorontalo,896,32,928,8108,284,8392,103914,4228,108142
Sulawesi Barat,1297,29,1326,13487,268,13755,139578,4415,143993
Maluku,1276,536,1812,13498,4471,17969,148988,59008,207996
Maluku Utara,1110,205,1315,10439,1598,12037,117634,22930,140564
Papua Barat,700,404,1104,6705,3086,9791,82955,48216,131171
Papua,1664,978,2642,12610,7617,20227,288283,184269,472552
Indonesia,130042,18933,148975,1373257,232252,1605509,20366178,3710333,24076511