Provinsi,Jumlah Sekolah SMA (Negeri),Jumlah Sekolah SMA (Swasta),Jumlah Sekolah SMA (Negeri+Swasta),Jumlah Guru SMA (Negeri),Jumlah Guru SMA (Swasta),Jumlah Guru SMA (Negeri+Swasta),Jumlah Murid SMA (Negeri),Jumlah Murid SMA (Swasta),Jumlah Murid SMA (Negeri+Swasta)
Aceh,394,141,535,12195,1677,13872,112810,18461,131271
Sumatera Utara,428,647,1075,15908,8224,24132,245383,139560,384943
Sumatera Barat,236,101,337,9834,1430,11264,137874,14054,151928
Riau,303,152,455,10018,2052,12070,143617,23073,166690
Jambi,162,77,239,5364,787,6151,69152,9293,78445
Sumatera Selatan,329,283,612,11845,3374,15219,165349,47065,212414
Bengkulu,109,37,146,3885,317,4202,49781,2832,52613
Lampung,239,280,519,8312,3236,11548,123644,41107,164751
Kepulauan Bangka Belitung,47,24,71,1463,299,1762,26033,3963,29996
Kepulauan Riau,93,70,163,2829,712,3541,46609,7825,54434
DKI Jakarta,117,375,492,5142,6631,11773,90825,99062,189887
Jawa Barat,514,1197,1711,25473,16678,42151,508679,284248,792927
Jawa Tengah,361,493,854,18467,7717,26184,335227,103302,438529
DI Yogyakarta,69,104,173,2671,1757,4428,42808,17232,60040
Jawa Timur,423,1095,1518,19683,14628,34311,343552,194163,537715
Banten,161,442,603,6764,5695,12459,139369,78017,217386
Bali,88,75,163,4554,1162,5716,79732,14293,94025
Nusa Tenggara Barat,150,193,343,7274,2113,9387,90179,20036,110215
Nusa Tenggara Timur,386,212,598,11699,4716,16415,143294,60944,204238
Kalimantan Barat,273,186,459,6077,2043,8120,100690,29550,130240
Kalimantan Tengah,181,61,242,4463,661,5124,54913,6201,61114
Kalimantan Selatan,142,63,205,4279,754,5033,59613,6852,66465
Kalimantan Timur,143,90,233,4147,1048,5195,66986,13234,80220
Kalimantan Utara,44,23,67,1150,265,1415,15292,2923,18215
Sulawesi Utara,121,109,230,3738,1093,4831,48938,13798,62736
Sulawesi Tengah,176,56,232,5144,619,5763,72724,6543,79267
Sulawesi Selatan,335,264,599,12973,2971,15944,193752,35623,229375
Sulawesi Tenggara,249,64,313,7272,572,7844,88905,5297,94202
Gorontalo,61,9,70,1958,127,2085,29992,1270,31262
Sulawesi Barat,77,14,91,2288,103,2391,27994,1154,29148
Maluku,211,73,284,5357,1300,6657,57923,11619,69542
Maluku Utara,139,78,217,2844,785,3629,34566,8539,43105
Papua Barat,82,49,131,1643,735,2378,23003,6917,29920
Papua,144,112,256,3376,1607,4983,50184,21133,71317
Indonesia,6987,7249,14236,250089,97888,347977,3819392,1349183,5168575