Provinsi,Jumlah Sekolah SMK (Negeri),Jumlah Sekolah SMK (Swasta),Jumlah Sekolah SMK (Negeri+Swasta),Jumlah Guru SMK (Negeri),Jumlah Guru SMK (Swasta),Jumlah Guru SMK (Negeri+Swasta),Jumlah Murid SMK (Negeri),Jumlah Murid SMK (Swasta),Jumlah Murid SMK (Negeri+Swasta)
Aceh,153,67,220,6124,784,6908,45444,7495,52939
Sumatera Utara,270,703,973,10584,10550,21134,137972,170921,308893
Sumatera Barat,114,98,212,6204,1516,7720,75205,14094,89299
Riau,128,175,303,5193,3296,8489,66389,37646,104035
Jambi,104,75,179,3535,937,4472,39326,10738,50064
Sumatera Selatan,120,190,310,5604,3061,8665,75576,48075,123651
Bengkulu,64,40,104,2565,488,3053,26402,3806,30208
Lampung,111,381,492,4865,5893,10758,67956,81763,149719
Kepulauan Bangka Belitung,36,23,59,1359,385,1744,19335,5599,24934
Kepulauan Riau,36,74,110,1687,864,2551,26053,10039,36092
DKI Jakarta,73,499,572,3296,8505,11801,56768,139206,195974
Jawa Barat,288,2617,2905,17534,40788,58322,330779,745666,1076445
Jawa Tengah,237,1312,1549,16917,29224,46141,292022,498113,790135
DI Yogyakarta,50,162,212,3276,3442,6718,50598,36287,86885
Jawa Timur,297,1852,2149,20063,28696,48759,343774,426456,770230
Banten,91,648,739,4406,9313,13719,88794,160573,249367
Bali,54,117,171,3436,2445,5881,52391,35608,87999
Nusa Tenggara Barat,99,238,337,5301,2613,7914,55150,23881,79031
Nusa Tenggara Timur,165,157,322,5512,3078,8590,60410,43626,104036
Kalimantan Barat,110,118,228,3158,1407,4565,56239,19663,75902
Kalimantan Tengah,94,45,139,2551,616,3167,27875,6047,33922
Kalimantan Selatan,63,63,126,3046,1096,4142,42514,12805,55319
Kalimantan Timur,87,129,216,3405,1848,5253,52654,28082,80736
Kalimantan Utara,21,11,32,741,128,869,9409,1040,10449
Sulawesi Utara,92,98,190,3025,1191,4216,34793,13265,48058
Sulawesi Tengah,107,75,182,3000,950,3950,33097,10204,43301
Sulawesi Selatan,168,248,416,7309,3151,10460,90493,34374,124867
Sulawesi Tenggara,102,64,166,3050,723,3773,30018,5983,36001
Gorontalo,40,18,58,1530,277,1807,15543,2490,18033
Sulawesi Barat,60,71,131,1896,689,2585,19023,7000,26023
Maluku,82,33,115,2153,585,2738,16110,5461,21571
Maluku Utara,63,87,150,1183,823,2006,9804,8967,18771
Papua Barat,33,24,57,911,421,1332,11434,4682,16116
Papua,80,61,141,2053,1016,3069,22538,12771,35309
Indonesia,3692,10573,14265,166472,170799,337271,2381888,2672426,5054314